pas_faehrverkehr_absolut,pas_ausflugsverkehr_absolut,pas_kreuzfahrt_absolut,Datum
4448.605479452055,159.21917808219177,970.0,2014-05-27
4448.605479452055,159.21917808219177,970.0,2014-05-28
4448.605479452055,159.21917808219177,970.0,2014-05-29
4448.605479452055,159.21917808219177,970.0,2014-05-30
4448.605479452055,159.21917808219177,970.0,2014-05-31
4448.605479452055,159.21917808219177,970.0,2014-06-01
4448.605479452055,159.21917808219177,970.0,2014-06-02
4448.605479452055,159.21917808219177,970.0,2014-06-03
4448.605479452055,159.21917808219177,970.0,2014-06-04
4448.605479452055,159.21917808219177,970.0,2014-06-05
4448.605479452055,159.21917808219177,970.0,2014-06-06
4448.605479452055,159.21917808219177,970.0,2014-06-07
4448.605479452055,159.21917808219177,970.0,2014-06-08
4448.605479452055,159.21917808219177,970.0,2014-06-09
4448.605479452055,159.21917808219177,970.0,2014-06-10
4448.605479452055,159.21917808219177,970.0,2014-06-11
4448.605479452055,159.21917808219177,970.0,2014-06-12
4448.605479452055,159.21917808219177,970.0,2014-06-13
4448.605479452055,159.21917808219177,970.0,2014-06-14
4448.605479452055,159.21917808219177,970.0,2014-06-15
4448.605479452055,159.21917808219177,970.0,2014-06-16
4448.605479452055,159.21917808219177,970.0,2014-06-17
4448.605479452055,159.21917808219177,970.0,2014-06-18
4448.605479452055,159.21917808219177,970.0,2014-06-19
4448.605479452055,159.21917808219177,970.0,2014-06-20
4448.605479452055,159.21917808219177,970.0,2014-06-21
4448.605479452055,159.21917808219177,970.0,2014-06-22
4448.605479452055,159.21917808219177,970.0,2014-06-23
4448.605479452055,159.21917808219177,970.0,2014-06-24
4448.605479452055,159.21917808219177,970.0,2014-06-25
4448.605479452055,159.21917808219177,970.0,2014-06-26
4448.605479452055,159.21917808219177,970.0,2014-06-27
4448.605479452055,159.21917808219177,970.0,2014-06-28
4448.605479452055,159.21917808219177,970.0,2014-06-29
4448.605479452055,159.21917808219177,970.0,2014-06-30
4448.605479452055,159.21917808219177,970.0,2014-07-01
4448.605479452055,159.21917808219177,970.0,2014-07-02
4448.605479452055,159.21917808219177,970.0,2014-07-03
4448.605479452055,159.21917808219177,970.0,2014-07-04
4448.605479452055,159.21917808219177,970.0,2014-07-05
4448.605479452055,159.21917808219177,970.0,2014-07-06
4448.605479452055,159.21917808219177,970.0,2014-07-07
4448.605479452055,159.21917808219177,970.0,2014-07-08
4448.605479452055,159.21917808219177,970.0,2014-07-09
4448.605479452055,159.21917808219177,970.0,2014-07-10
4448.605479452055,159.21917808219177,970.0,2014-07-11
4448.605479452055,159.21917808219177,970.0,2014-07-12
4448.605479452055,159.21917808219177,970.0,2014-07-13
4448.605479452055,159.21917808219177,970.0,2014-07-14
4448.605479452055,159.21917808219177,970.0,2014-07-15
4448.605479452055,159.21917808219177,970.0,2014-07-16
4448.605479452055,159.21917808219177,970.0,2014-07-17
4448.605479452055,159.21917808219177,970.0,2014-07-18
4448.605479452055,159.21917808219177,970.0,2014-07-19
4448.605479452055,159.21917808219177,970.0,2014-07-20
4448.605479452055,159.21917808219177,970.0,2014-07-21
4448.605479452055,159.21917808219177,970.0,2014-07-22
4448.605479452055,159.21917808219177,970.0,2014-07-23
4448.605479452055,159.21917808219177,970.0,2014-07-24
4448.605479452055,159.21917808219177,970.0,2014-07-25
4448.605479452055,159.21917808219177,970.0,2014-07-26
4448.605479452055,159.21917808219177,970.0,2014-07-27
4448.605479452055,159.21917808219177,970.0,2014-07-28
4448.605479452055,159.21917808219177,970.0,2014-07-29
4448.605479452055,159.21917808219177,970.0,2014-07-30
4448.605479452055,159.21917808219177,970.0,2014-07-31
4448.605479452055,159.21917808219177,970.0,2014-08-01
4448.605479452055,159.21917808219177,970.0,2014-08-02
4448.605479452055,159.21917808219177,970.0,2014-08-03
4448.605479452055,159.21917808219177,970.0,2014-08-04
4448.605479452055,159.21917808219177,970.0,2014-08-05
4448.605479452055,159.21917808219177,970.0,2014-08-06
4448.605479452055,159.21917808219177,970.0,2014-08-07
4448.605479452055,159.21917808219177,970.0,2014-08-08
4448.605479452055,159.21917808219177,970.0,2014-08-09
4448.605479452055,159.21917808219177,970.0,2014-08-10
4448.605479452055,159.21917808219177,970.0,2014-08-11
4448.605479452055,159.21917808219177,970.0,2014-08-12
4448.605479452055,159.21917808219177,970.0,2014-08-13
4448.605479452055,159.21917808219177,970.0,2014-08-14
4448.605479452055,159.21917808219177,970.0,2014-08-15
4448.605479452055,159.21917808219177,970.0,2014-08-16
4448.605479452055,159.21917808219177,970.0,2014-08-17
4448.605479452055,159.21917808219177,970.0,2014-08-18
4448.605479452055,159.21917808219177,970.0,2014-08-19
4448.605479452055,159.21917808219177,970.0,2014-08-20
4448.605479452055,159.21917808219177,970.0,2014-08-21
4448.605479452055,159.21917808219177,970.0,2014-08-22
4448.605479452055,159.21917808219177,970.0,2014-08-23
4448.605479452055,159.21917808219177,970.0,2014-08-24
4448.605479452055,159.21917808219177,970.0,2014-08-25
4448.605479452055,159.21917808219177,970.0,2014-08-26
